trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-59.720538311000105,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,8,6.0502616787773595,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-155.28149748046124,"{0: 19, 1: 3, 2: 12, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-227.6418292680966,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-143.89149093166978,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-167.62182192281628,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-26.00163702491534,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,10,-2.8565389148800993,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-203.02995497710657,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-50.20010749889162,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-189.84699976735396,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-91.80148164625523,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-173.73863332388686,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-35.974842852753774,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-75.02537984409052,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-24.205886717687076,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-182.49372174010307,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,-9.72746822513066,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-81.26302464753735,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,17,-9.459777139312372,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,10,-5.615662342420588,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,-15.055215012761652,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-30.983513815393867,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,15,-17.306152776867567,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-30.155384608135247,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-146.51050790942472,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,7,-23.961592653333362,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,7,-14.653465471460995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,3,13.7476161304383,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-75.80229476204633,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
