trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",25,0,-200.49986671676217,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.25}",30,9,-99.14450324319327,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 1}",1
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",20,0,-148.0402604434557,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.0625}",20,0,-202.56637007364603,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
5,False,"{'a': 0.8, 'e': 0.04}",25,0,-224.19616837161112,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",20,0,-128.15493288610227,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",20,0,-144.61720073172927,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.8, 'e': 0.015625}",25,0,-208.95731197649113,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",35,0,-116.40756738349815,"{0: 25, 1: 0, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.01}",20,3,-35.59829173186084,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",20,0,-83.47814050682375,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",20,13,-0.23261305004038624,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",20,0,-52.667469535966575,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",20,0,-45.36515874823133,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",20,0,-114.55263760968073,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.8, 'e': 0.00390625}",20,0,9.739580959816253,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.0034602076124567475}",20,0,-69.20440592564891,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.0030864197530864196}",35,0,-120.31006207849056,"{0: 25, 1: 0, 2: 7, 3: 2, 4: 1}",1
19,False,"{'a': 0.8, 'e': 0.002770083102493075}",20,0,-25.657712418294974,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.0025}",20,0,-21.692387910072185,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.8, 'e': 0.0022675736961451248}",25,0,-41.303959493998406,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.002066115702479339}",25,0,-26.166306164120513,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.001890359168241966}",35,15,-123.52467764286585,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",1
24,False,"{'a': 0.8, 'e': 0.001736111111111111}",30,0,-45.173217280684696,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.0016}",20,10,17.986212786021298,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.0014792899408284023}",30,0,-108.59740815861657,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.0013717421124828531}",20,0,-12.915020537188283,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.0012755102040816326}",20,0,23.232324637477937,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.0011890606420927466}",30,0,-31.886894663548293,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.0011111111111111111}",30,0,-27.686965115865007,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.001040582726326743}",35,0,-52.547983560444756,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.0009765625}",30,0,-37.024869049820126,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
33,False,"{'a': 0.8, 'e': 0.0009182736455463728}",25,3,-13.503536477808803,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.8, 'e': 0.0008650519031141869}",25,0,2.2965734088632175,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.0008163265306122449}",30,0,-24.70119666361508,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
36,False,"{'a': 0.8, 'e': 0.0007716049382716049}",30,0,-21.46701583301779,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.0007304601899196494}",20,12,13.215667452229606,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.0006925207756232687}",20,0,23.35938293372175,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.8, 'e': 0.0006574621959237344}",25,19,9.944891098144117,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.000625}",20,0,28.011932990115707,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.000594883997620464}",25,0,11.151961379203073,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
42,False,"{'a': 0.8, 'e': 0.0005668934240362812}",25,13,18.914229652527435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.0005408328826392645}",25,0,-47.77124578515049,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.0005165289256198347}",25,0,-8.508352732766525,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
45,False,"{'a': 0.8, 'e': 0.0004938271604938272}",20,10,8.013678067250165,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.0004725897920604915}",20,0,-3.6651479307924673,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.8, 'e': 0.0004526935264825713}",25,11,23.22702193410432,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.00043402777777777775}",20,0,26.765641119023748,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.00041649312786339027}",20,0,24.152334326470793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.0004}",30,4,33.798610254842046,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.00038446751249519417}",25,9,-15.009260553268806,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.0003698224852071006}",30,19,3.9891147046436504,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.000355998576005696}",20,12,13.163653480083148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.0003429355281207133}",20,0,27.49690597717369,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.00033057851239669424}",20,0,23.106028361504844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.00031887755102040814}",20,0,18.41345429499381,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.0003077870113881194}",20,0,-10.4772609419731,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
58,False,"{'a': 0.8, 'e': 0.00029726516052318666}",35,24,-120.03716112348813,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
59,False,"{'a': 0.8, 'e': 0.0002872737719046251}",20,0,-18.073196151919078,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
60,False,"{'a': 0.8, 'e': 0.0002777777777777778}",20,0,34.817449066048894,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.0002687449610319806}",20,15,10.996619768686404,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.00026014568158168577}",20,0,26.51205480103468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.0002519526329050139}",20,13,13.180627606314054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.000244140625}",30,11,-35.686501637473455,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.00023668639053254438}",20,8,0.17695933797445074,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.0002295684113865932}",20,0,23.75893715835411,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.8, 'e': 0.00022276676319893073}",20,6,27.798203757092942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.00021626297577854672}",35,7,-65.05167370281285,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 2}",1
69,False,"{'a': 0.8, 'e': 0.00021003990758244065}",30,0,-46.19558351602182,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
70,False,"{'a': 0.8, 'e': 0.00020408163265306123}",20,0,32.58438609033203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.8, 'e': 0.00019837333862328903}",25,0,-14.579475160280447,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
72,False,"{'a': 0.8, 'e': 0.00019290123456790122}",20,0,23.784876249782634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.8, 'e': 0.00018765246762994934}",20,12,-12.599312731219332,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.00018261504747991235}",25,0,14.876516635167848,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.8, 'e': 0.00017777777777777779}",20,2,-9.607256037259509,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.8, 'e': 0.00017313019390581717}",20,10,18.613940531476885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.00016866250632484398}",25,4,31.833709742519353,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.0001643655489809336}",20,0,-38.465144297741126,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
79,False,"{'a': 0.8, 'e': 0.0001602307322544464}",25,0,18.934225286157478,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.8, 'e': 0.00015625}",20,16,6.994452922895248,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.00015241579027587258}",20,7,22.30901168724334,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.8, 'e': 0.000148720999405116}",30,0,-5.021256522242525,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
83,False,"{'a': 0.8, 'e': 0.00014515894904920887}",20,0,28.783162777587133,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.8, 'e': 0.0001417233560090703}",20,0,19.243243730333845,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.8, 'e': 0.0001384083044982699}",30,17,-2.4307315108833127,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.00013520822065981613}",25,0,42.59767576066384,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.8, 'e': 0.0001321178491214163}",20,0,30.866751749148,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.8, 'e': 0.00012913223140495868}",20,0,-25.00816264121984,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
89,False,"{'a': 0.8, 'e': 0.00012624668602449185}",25,14,-15.58897722762248,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.0001234567901234568}",25,15,18.47984645877575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.00012075836251660427}",25,10,19.1889264614778,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.00011814744801512288}",20,0,12.78956884193449,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.8, 'e': 0.00011562030292519366}",25,0,28.282033398164845,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.8, 'e': 0.00011317338162064282}",20,0,-10.905163154302375,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
95,False,"{'a': 0.8, 'e': 0.00011080332409972299}",20,0,14.2738189915355,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.8, 'e': 0.00010850694444444444}",25,0,2.2294817441463546,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.8, 'e': 0.00010628122010840685}",20,0,15.776204414360107,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.8, 'e': 0.00010412328196584757}",30,13,25.99770302980447,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.00010203040506070809}",30,9,15.328726261223155,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.0001}",20,0,10.525012153817329,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.8, 'e': 1.0}",20,0,-99.96385511928321,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
102,False,"{'a': 0.8, 'e': 0.25}",20,0,23.629227542594613,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.8, 'e': 0.1111111111111111}",20,0,26.405508729712295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.8, 'e': 0.0625}",30,0,41.92047612085383,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.8, 'e': 0.04}",25,0,30.111701718742413,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.8, 'e': 0.027777777777777776}",30,0,11.926204907097802,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
107,False,"{'a': 0.8, 'e': 0.02040816326530612}",20,0,28.918908139964866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.8, 'e': 0.015625}",20,0,-1.3086272219124475,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
109,False,"{'a': 0.8, 'e': 0.012345679012345678}",20,0,35.22606148680447,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.8, 'e': 0.01}",30,0,12.844288903804062,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.8, 'e': 0.008264462809917356}",25,12,24.75727824924219,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.006944444444444444}",20,1,15.259107628463443,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.005917159763313609}",30,0,11.732618010127606,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
114,False,"{'a': 0.8, 'e': 0.00510204081632653}",25,0,13.15768795456534,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
115,False,"{'a': 0.8, 'e': 0.0044444444444444444}",20,0,-1.3264425068473495,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.8, 'e': 0.00390625}",20,3,27.14954460908278,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.0034602076124567475}",25,0,3.1085732565245205,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
118,False,"{'a': 0.8, 'e': 0.0030864197530864196}",25,17,-17.978229323816713,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.002770083102493075}",35,16,-69.11355236032678,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.0025}",20,0,24.544150601547926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.8, 'e': 0.0022675736961451248}",20,0,23.39035416211639,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.8, 'e': 0.002066115702479339}",25,0,43.02314071859333,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.8, 'e': 0.001890359168241966}",20,15,-11.550722672098026,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.001736111111111111}",25,0,-2.8466241583100507,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
125,False,"{'a': 0.8, 'e': 0.0016}",30,0,25.307214246461744,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
126,False,"{'a': 0.8, 'e': 0.0014792899408284023}",35,0,-8.745241915097,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.8, 'e': 0.0013717421124828531}",20,0,1.3031637724243783,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
128,False,"{'a': 0.8, 'e': 0.0012755102040816326}",30,0,24.540331671584955,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
129,False,"{'a': 0.8, 'e': 0.0011890606420927466}",25,0,33.07223258706576,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.8, 'e': 0.0011111111111111111}",30,0,12.876285606036829,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
131,False,"{'a': 0.8, 'e': 0.001040582726326743}",20,11,14.61815016477449,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.0009765625}",20,0,19.95147563585392,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.8, 'e': 0.0009182736455463728}",20,0,28.51611920469856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.8, 'e': 0.0008650519031141869}",25,17,-25.17718470293341,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.8, 'e': 0.0008163265306122449}",20,0,25.247940084922444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.8, 'e': 0.0007716049382716049}",25,9,26.539292656863374,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.0007304601899196494}",25,14,20.349419618490437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.0006925207756232687}",20,0,26.422810726211434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.8, 'e': 0.0006574621959237344}",25,0,29.201091586915442,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.8, 'e': 0.000625}",20,0,28.784820495713497,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.8, 'e': 0.000594883997620464}",30,16,-19.84231682307099,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.0005668934240362812}",25,1,38.588885811661996,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.8, 'e': 0.0005408328826392645}",20,0,31.663607714603113,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.8, 'e': 0.0005165289256198347}",30,0,22.290211841627798,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
145,False,"{'a': 0.8, 'e': 0.0004938271604938272}",20,0,-20.001633474842574,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
146,False,"{'a': 0.8, 'e': 0.0004725897920604915}",20,0,5.73395532014491,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
147,False,"{'a': 0.8, 'e': 0.0004526935264825713}",20,0,20.684413807724283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.8, 'e': 0.00043402777777777775}",20,4,26.305554613517003,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.00041649312786339027}",25,13,25.729893868564062,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.0004}",20,0,25.06723836245911,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.8, 'e': 0.00038446751249519417}",25,0,27.4428066109381,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.8, 'e': 0.0003698224852071006}",20,0,3.743296856245281,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
153,False,"{'a': 0.8, 'e': 0.000355998576005696}",25,0,13.867198439203971,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
154,False,"{'a': 0.8, 'e': 0.0003429355281207133}",25,0,-8.448324451162044,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
155,False,"{'a': 0.8, 'e': 0.00033057851239669424}",25,0,31.460098280335316,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.8, 'e': 0.00031887755102040814}",20,0,25.206058659113523,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.8, 'e': 0.0003077870113881194}",25,8,7.243049545782845,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.00029726516052318666}",30,1,34.76068300179242,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.0002872737719046251}",20,0,29.808082097440828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.8, 'e': 0.0002777777777777778}",30,14,6.609018533830327,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.0002687449610319806}",20,0,5.072058239161636,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
162,False,"{'a': 0.8, 'e': 0.00026014568158168577}",20,0,27.50741159350682,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.8, 'e': 0.0002519526329050139}",25,17,12.412725426445084,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.000244140625}",20,0,25.45277034291531,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.8, 'e': 0.00023668639053254438}",20,0,25.69952148997666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.8, 'e': 0.0002295684113865932}",30,12,-12.854722621694354,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.00022276676319893073}",25,0,36.17738705987714,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
