trial,testing,state,action,reward,Q_before,Q_after
1,False,"('right', 'green', None, None, None)",forward,0.3085420202119806,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.15', None: '0.00', 'right': '0.00', 'left': '0.00'}"
1,False,"('right', 'red', 'left', 'left', None)",right,1.49718377846329,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.75', 'left': '0.00'}"
1,False,"('forward', 'red', 'left', 'left', 'forward')",,1.105310578376912,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.55', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'red', 'left', 'left', None)",forward,-10.857910242777663,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-5.43', None: '0.00', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'green', 'left', 'right', None)",forward,1.7773687170946981,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.89', None: '0.00', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'green', 'right', None, None)",forward,1.2731415202020104,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.64', None: '0.00', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'green', None, 'left', None)",forward,2.380922378124612,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '1.19', None: '0.00', 'right': '0.00', 'left': '0.00'}"
2,False,"('left', 'red', None, 'left', 'left')",left,-10.603022160645795,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-5.30'}"
2,False,"('left', 'red', 'right', 'forward', None)",right,-19.666286505831597,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '-9.83', 'left': '0.00'}"
2,False,"('left', 'red', None, None, None)",left,-9.022635929174502,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-4.51'}"
2,False,"('left', 'red', None, None, None)",forward,-9.771817550006338,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-4.51'}","{'forward': '-4.89', None: '0.00', 'right': '0.00', 'left': '-4.51'}"
2,False,"('left', 'red', None, None, None)",,1.357126977770538,"{'forward': '-4.89', None: '0.00', 'right': '0.00', 'left': '-4.51'}","{'forward': '-4.89', None: '0.68', 'right': '0.00', 'left': '-4.51'}"
2,False,"('left', 'green', None, None, None)",right,0.7448428084487907,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.37', 'left': '0.00'}"
2,False,"('forward', 'green', None, None, 'forward')",forward,2.126573108100188,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '1.06', None: '0.00', 'right': '0.00', 'left': '0.00'}"
2,False,"('forward', 'green', 'left', None, None)",,1.1610793665260568,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.58', 'right': '0.00', 'left': '0.00'}"
2,False,"('forward', 'green', None, None, 'forward')",left,0.2054897846535223,"{'forward': '1.06', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '1.06', None: '0.00', 'right': '0.00', 'left': '0.10'}"
2,False,"('right', 'green', 'right', None, None)",forward,0.18866416662717533,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.09', None: '0.00', 'right': '0.00', 'left': '0.00'}"
2,False,"('right', 'red', None, None, 'left')",left,-9.748203636638557,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-4.87'}"
2,False,"('right', 'red', None, None, 'left')",right,1.4312503144733,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-4.87'}","{'forward': '0.00', None: '0.00', 'right': '0.72', 'left': '-4.87'}"
2,False,"('forward', 'green', None, None, None)",forward,1.4612953883782456,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.73', None: '0.00', 'right': '0.00', 'left': '0.00'}"
2,False,"('left', 'green', None, 'right', None)",right,0.5823837265836505,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.29', 'left': '0.00'}"
2,False,"('forward', 'green', 'left', 'left', None)",forward,2.114716360984736,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '1.06', None: '0.00', 'right': '0.00', 'left': '0.00'}"
2,False,"('forward', 'red', None, None, 'left')",,1.0516188653442766,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.53', 'right': '0.00', 'left': '0.00'}"
2,False,"('forward', 'red', None, 'left', 'forward')",right,1.343855242627495,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.67', 'left': '0.00'}"
2,False,"('left', 'red', None, 'right', None)",forward,-9.68250993091426,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-4.84', None: '0.00', 'right': '0.00', 'left': '0.00'}"
2,False,"('left', 'red', 'forward', 'left', None)",,0.896495725101687,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.45', 'right': '0.00', 'left': '0.00'}"
2,False,"('left', 'green', 'forward', 'forward', None)",left,-20.2221068282687,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-10.11'}"
2,False,"('left', 'green', None, 'forward', None)",right,-0.14078308924382354,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '-0.07', 'left': '0.00'}"
2,False,"('right', 'green', None, 'forward', 'left')",left,0.4143443860670941,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.21'}"
2,False,"('left', 'green', None, None, None)",forward,0.3360395290441063,"{'forward': '0.00', None: '0.00', 'right': '0.37', 'left': '0.00'}","{'forward': '0.17', None: '0.00', 'right': '0.37', 'left': '0.00'}"
2,False,"('left', 'red', 'right', None, 'forward')",left,-40.15978739953554,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-20.08'}"
2,False,"('left', 'red', 'right', 'right', 'forward')",,1.3659781996245524,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.68', 'right': '0.00', 'left': '0.00'}"
3,False,"('right', 'red', 'left', 'left', 'forward')",left,-40.24387991115899,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-20.12'}"
3,False,"('right', 'red', 'left', 'left', None)",,1.3052237596918799,"{'forward': '0.00', None: '0.00', 'right': '0.75', 'left': '0.00'}","{'forward': '0.00', None: '0.65', 'right': '0.75', 'left': '0.00'}"
3,False,"('right', 'red', 'left', None, None)",right,2.3604307734636008,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '1.18', 'left': '0.00'}"
3,False,"('forward', 'green', None, 'forward', None)",right,0.8450467252079331,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.42', 'left': '0.00'}"
3,False,"('left', 'red', 'forward', None, None)",,2.1141481406409968,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '1.06', 'right': '0.00', 'left': '0.00'}"
3,False,"('left', 'red', 'left', None, None)",,1.8030598360407075,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.90', 'right': '0.00', 'left': '0.00'}"
3,False,"('left', 'green', 'left', None, None)",,-0.04340136339962575,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-0.02', 'right': '0.00', 'left': '0.00'}"
3,False,"('left', 'green', 'left', None, None)",forward,0.7764502109705704,"{'forward': '0.00', None: '-0.02', 'right': '0.00', 'left': '0.00'}","{'forward': '0.39', None: '-0.02', 'right': '0.00', 'left': '0.00'}"
3,False,"('left', 'red', 'left', None, 'right')",left,-9.728885322704846,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-4.86'}"
3,False,"('left', 'red', 'left', 'forward', None)",,1.0002884137523964,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.50', 'right': '0.00', 'left': '0.00'}"
3,False,"('left', 'green', 'left', None, None)",right,0.4359614263321524,"{'forward': '0.39', None: '-0.02', 'right': '0.00', 'left': '0.00'}","{'forward': '0.39', None: '-0.02', 'right': '0.22', 'left': '0.00'}"
3,False,"('right', 'green', None, 'forward', 'left')",forward,0.401824361149282,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.21'}","{'forward': '0.20', None: '0.00', 'right': '0.00', 'left': '0.21'}"
3,False,"('forward', 'green', None, None, 'left')",forward,0.781438214052506,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.39', None: '0.00', 'right': '0.00', 'left': '0.00'}"
3,False,"('forward', 'red', None, None, None)",right,0.24441974169422498,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.12', 'left': '0.00'}"
