trial,testing,state,action,reward,Q_before,Q_after
1,False,"('right', 'green', 'left')",forward,0.8045620197337311,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.56', None: '0.00', 'right': '0.00', 'left': '0.00'}"
1,False,"('right', 'green', None)",,-4.142378306288061,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-2.90', 'right': '0.00', 'left': '0.00'}"
1,False,"('right', 'green', None)",,-4.294048248331856,"{'forward': '0.00', None: '-2.90', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-3.88', 'right': '0.00', 'left': '0.00'}"
1,False,"('right', 'green', None)",left,0.5054370229128543,"{'forward': '0.00', None: '-3.88', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-3.88', 'right': '0.00', 'left': '0.35'}"
1,False,"('forward', 'red', 'forward')",left,-10.626467633199153,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-7.44'}"
1,False,"('forward', 'red', 'forward')",right,0.8130038727801179,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-7.44'}","{'forward': '0.00', None: '0.00', 'right': '0.57', 'left': '-7.44'}"
1,False,"('left', 'red', None)",forward,-9.461204476435121,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-6.62', None: '0.00', 'right': '0.00', 'left': '0.00'}"
1,False,"('left', 'green', None)",left,1.6810028694036458,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '1.18'}"
1,False,"('forward', 'red', None)",,1.236688983586091,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.87', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'red', None)",left,-10.03983179722472,"{'forward': '0.00', None: '0.87', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.87', 'right': '0.00', 'left': '-7.03'}"
