trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,13,-167.9663434061739,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-92.37139715969494,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-139.765898707242,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-153.442768454747,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-101.86432706973949,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-217.0887360150992,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-194.755848039228,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-25.67896516607674,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-170.12931864531686,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-61.69577131461862,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-153.3168194238703,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-145.6299766329462,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-142.4706459206067,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-115.99985597927318,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,4,-102.22052220229762,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",35,0,-92.94951132382984,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-32.200363112635145,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-201.8513231010484,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-141.67280363149462,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
