trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.75536690720273,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-95.90287696168497,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,0,-217.6523869351942,"{0: 14, 1: 3, 2: 10, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.0625}",35,0,-264.3511097786759,"{0: 16, 1: 3, 2: 12, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,0,-92.17899911511341,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,0,-150.18722316935984,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,0,-99.06903433600542,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,0,-123.75477358978787,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",30,0,-105.295385394696,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.01}",30,0,-255.6534853147335,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",30,0,-99.0358674101407,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,-139.96306424961676,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-107.82914532825923,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,0,-68.10063555454269,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",30,0,-57.761768044565684,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",30,0,-108.11931161318337,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",30,0,-114.19310874990538,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,0,-132.18480030171384,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,1,-66.72335960141423,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,-121.09890936545963,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,33.31408879031672,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,19,10.443511806561647,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,17,31.3248377300525,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,12,30.969379015254372,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,12,27.863342367394296,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,22.176481152805938,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,18.41307571593769,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,27.702620655231684,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,15.96515795918656,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,19,19.655567450646977,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
