trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.2416672572011,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.56092802533209,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.33928053515652,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.93583898769437,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.89422639581396,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,5,-149.25411379993557,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.05350554991819,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.24482311096574,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.25549921629454,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.50302316977127,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,3,-184.80516841694583,"{0: 7, 1: 0, 2: 6, 3: 1, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,6,-62.10970156901421,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.86472504222874,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,4,-112.62879010067043,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.08785963922349,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.92987091086033,"{0: 21, 1: 2, 2: 2, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.91650251261258,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.61332299947387,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,6,6.083291155613816,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.90198475369412,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-207.91930599965107,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.69754111592138,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.14595512425308,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-128.1521050453002,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.37870705480265,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.36285692190255,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.55853789503534,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,3,-26.559596192836665,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.87496267077755,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-217.49893628179225,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
