trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.80497254402776,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-249.52654714542948,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,0,-239.47757132252593,"{0: 16, 1: 1, 2: 9, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-282.5132011057537,"{0: 8, 1: 0, 2: 13, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.04}",25,0,-106.16523009442056,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-85.52254178584441,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",35,0,-315.6837509246472,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,6,-227.99135083192357,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 5}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",30,0,-247.28990565241043,"{0: 17, 1: 0, 2: 7, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.01}",25,0,-153.77454520672708,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,0,-208.66933782735518,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",35,19,-182.88514497847945,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,8,-16.29970285512136,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,11,-29.117057732879296,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",30,0,-151.6619033879964,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,16.019115303860467,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,0,-56.363337354595934,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",35,0,-232.13665180240073,"{0: 18, 1: 0, 2: 13, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,0,-46.27103628607526,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.0025}",30,0,-95.96215160415746,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",35,0,-120.82500555189561,"{0: 28, 1: 0, 2: 3, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",25,1,-66.07429064210848,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,0,-73.91342263130731,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",25,0,-108.34020058369056,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.0016}",20,3,16.156530394059295,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",25,0,4.7707478142933875,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",25,0,-89.84647323706328,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",20,0,2.3712234584367935,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",20,0,-26.521436857601053,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",20,0,-33.08115412480812,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",20,0,1.6006463157110213,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,15.966210246210144,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.0009182736455463728}",25,0,12.052273394199176,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.0008650519031141869}",20,0,4.589659217005676,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.0008163265306122449}",20,0,23.281506719567293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.0007716049382716049}",20,1,21.44003759303828,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.0007304601899196494}",20,0,-17.384452460590467,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.0006925207756232687}",20,0,1.3807284852999309,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.0006574621959237344}",20,0,7.785725146716147,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.000625}",20,0,6.525579828441576,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.000594883997620464}",30,0,0.08414344162376253,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.0005668934240362812}",20,0,-6.414205969951807,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.0005408328826392645}",20,0,0.281297815763096,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.0005165289256198347}",20,0,-35.4232749231377,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.0004938271604938272}",30,0,-54.40565342941821,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.0004725897920604915}",25,11,21.59989131766627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.0004526935264825713}",20,0,25.1051330609664,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.00043402777777777775}",20,0,21.846638650731823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.00041649312786339027}",30,0,33.674466257007055,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.0004}",20,0,27.20040789896481,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.00038446751249519417}",20,0,-11.300612496372505,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.0003698224852071006}",25,0,40.004716365138144,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.000355998576005696}",20,10,-5.057886556135812,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.0003429355281207133}",20,0,23.95032343505585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.00033057851239669424}",30,8,-46.57273785399769,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.00031887755102040814}",25,0,30.767479859210123,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.0003077870113881194}",20,15,9.823676086989483,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.00029726516052318666}",30,0,-48.8208392250211,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.0002872737719046251}",30,0,21.759802465746972,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.0002777777777777778}",20,0,23.23744553771824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.0002687449610319806}",25,0,27.06366459198685,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
